"Bill of Material for "
"On 2/4/2018 at 8:55:19 PM"

"Comment","Pattern","Quantity","Components"

"CONN 2-PIN","","8","J1, J2, J3, J4, J5, J6, J7, J8",""
"ESP8266","","1","U3","ESP8266 Dev Shield"
"MC74HC4067A","","1","U2","4-to-16 3V3/5V (De)multiplexer"
"TC78H610FNG","","4","U1, U4, U5, U6","Dual H-Bridge 3V3/5V control, 6-18V, 1A"
